Wavelength (nm)	ε'	ε''
206.64167	0	-7.8701
207.33278	0	-7.9152
208.02852	0	-7.964
208.72896000000003	-8.016	6.8186
209.43412	-8.0709	6.9042
210.14407000000003	-8.1283	6.9926
210.85884	-8.188	7.084
211.5785	-8.2497	7.1783
212.30308	-8.3132	7.2758
213.03265	-8.3785	7.3763
213.76724	-8.4454	7.4801
214.50692	-8.5139	7.5872
215.25174	-8.584	7.6977
216.00174	-8.6558	7.8119
216.75699	-8.7292	7.9302
217.51754	-8.8045	8.0529
218.28345	-8.8815	8.1807
219.05477	-8.9602	8.3143
219.83156	-9.0401	8.4546
220.61388000000002	-9.1208	8.6027
221.40179	-9.2012	8.7597
222.19534	-9.2797	8.9266
222.9946	-9.3546	9.104
223.79964	-9.4232	9.2923
224.61051	-9.4829	9.4909
225.42727	-9.5308	9.6987
226.25	-9.5639	9.9135
227.07875	-9.5802	10.132
227.9136	-9.5779	10.35
228.75461	-9.5568	10.563
229.60185	-9.5179	10.766
230.45539000000002	-9.4635	10.955
231.3153	-9.3973	11.124
232.18165	-9.324	11.273
233.05451	-9.2491	11.398
233.93396	-9.1783	11.499
234.82008	-9.1169	11.578
235.71293000000003	-9.07	11.638
236.6126	-9.0414	11.681
237.51916	-9.0342	11.711
238.43269	-9.0502	11.734
239.35328000000004	-9.0903	11.753
240.28101	-9.1544	11.771
241.21595	-9.2421	11.793
242.1582	-9.3523	11.821
243.10784	-9.484	11.858
244.06496	-9.6358	11.905
245.02964	-9.8066	11.965
246.00198	-9.9955	12.038
246.98207	-10.202	12.126
247.97	-10.424	12.229
248.96586000000002	-10.663	12.349
249.96976	-10.918	12.487
250.98178	-11.189	12.644
252.00203	-11.475	12.822
253.03061	-11.777	13.021
254.06762	-12.094	13.245
255.11317	-12.426	13.495
256.16736	-12.773	13.772
257.23029	-13.134	14.08
258.30208	-13.51	14.421
259.38285	-13.9	14.798
260.47269	-14.303	15.213
261.57173	-14.718	15.67
262.68008	-15.145	16.174
263.79787	-15.582	16.727
264.92521000000005	-16.03	17.335
266.06223	-16.485	18.003
267.20905	-16.948	18.738
268.3658	-17.416	19.549
269.53261000000003	-17.884	20.446
270.70961	-18.349	21.44
271.89693	-18.799	22.549
273.09471	-19.221	23.787
274.3031	-19.592	25.172
275.52222	-19.883	26.718
276.75223	-20.052	28.436
277.99327	-20.051	30.322
279.2455	-19.825	32.361
280.50905	-19.317	34.516
281.78409	-18.479	36.73
283.07078	-17.279	38.927
284.36927	-15.709	41.017
285.67972	-13.793	42.912
287.00231	-11.575	44.535
288.33721	-9.1194	45.823
289.68458	-6.4986	46.729
291.0446	-3.8007	47.218
292.41745	-1.1281	47.282
293.80332	1.4142	46.948
295.20238	3.7382	46.277
296.61483	5.7854	45.355
298.04087000000004	7.5308	44.271
299.48068	8.9786	43.112
300.93447000000003	10.156	41.948
302.40244	11.102	40.83
303.8848	11.864	39.792
305.38177	12.486	38.849
306.89356000000004	13.007	38.006
308.4204	13.459	37.256
309.9625	13.865	36.59
311.5201	14.242	35.997
313.09343	14.6	35.465
314.68274	14.946	34.985
316.28827	15.285	34.549
317.91026	15.619	34.152
319.54897	15.951	33.789
321.20466	16.281	33.457
322.8776	16.613	33.154
324.56806	16.946	32.877
326.27632	17.283	32.625
328.00265	17.625	32.396
329.74734	17.972	32.189
331.5107	18.326	32.004
333.29301	18.687	31.841
335.09459	19.056	31.701
336.91576000000003	19.432	31.586
338.75683000000004	19.818	31.503
340.61813	20.215	31.455
342.5	20.63	31.452
344.40278	21.07	31.506
346.32682	21.551	31.627
348.27247	22.093	31.829
350.2401100000001	22.73	32.125
352.23011	23.509	32.518
354.24286	24.489	33.003
356.27874	25.748	33.551
358.33815	27.371	34.102
360.42151	29.457	34.55
362.52924	32.098	34.707
364.66176	35.318	34.257
366.81953	38.922	32.779
369.00298	42.356	29.955
371.21257	44.85	25.918
373.4488	45.874	21.335
375.71212	45.483	17.025
378.00305000000003	44.169	13.481
380.32209	42.452	10.767
382.66975	40.652	8.7309
385.04658	38.911	7.1999
387.45312	37.287	6.044
389.88994	35.804	5.1674
392.35759	34.468	4.4947
394.85669	33.272	3.9668
397.38782	32.202	3.5389
399.95161	31.239	3.1794
402.5487	30.365	2.868
405.17974000000004	29.563	2.5919
407.84539	28.82	2.3442
410.54636	28.127	2.1208
413.28333	27.475	1.9193
416.05705000000006	26.86	1.7383
418.86824	26.277	1.5764
421.71769000000006	25.725	1.4325
424.60616	25.2	1.3051
427.53448	24.702	1.1931
430.50347	24.229	1.0949
433.51399	23.779	1.0093
436.5669	23.352	0.93484
439.66312	22.946	0.8702
442.80357	22.56	0.81414
445.98921	22.194	0.7655
449.22101	21.845	0.7232
452.5	21.514	0.68629
455.82721	21.198	0.65392
459.2037	20.898	0.62533
462.6306	20.611	0.59987
466.10902	20.338	0.57699
469.64015000000006	20.077	0.55621
473.22519	19.827	0.53716
476.86538	19.588	0.5195
480.56202	19.359	0.50296
484.31641	19.14	0.48735
488.12992	18.929	0.47248
492.00397000000004	18.726	0.45822
495.94	18.531	0.44447
499.93952	18.342	0.43115
504.00407	18.161	0.41819
508.13525000000004	17.986	0.40554
512.33471	17.816	0.39317
516.60417	17.653	0.38106
520.94538	17.494	0.36918
525.36017	17.34	0.35752
529.85043	17.192	0.34606
534.4181	17.047	0.33482
539.0652200000001	16.907	0.32376
543.79386	16.771	0.3129
548.60619	16.639	0.30224
553.50446	16.511	0.29176
558.49099	16.386	0.28147
563.56818	16.264	0.27136
568.73853	16.146	0.26144
574.00463	16.031	0.25171
579.36916	15.918	0.24216
584.8349100000001	15.809	0.2328
590.40476	15.702	0.22363
596.08173	15.598	0.21464
601.86893	15.497	0.20583
607.76961	15.398	0.19721
613.78713	15.301	0.18878
