# In-plane momentum (1/um), PSD (a.u.)
4.161049872304362074e-01,6.993048606585971356e+02
8.322099744608724148e-01,5.832415591381524109e+02
1.248314961691308511e+00,5.677588896405724199e+02
1.664419948921744830e+00,4.154895114491768595e+02
2.080524936152180704e+00,5.164991220156156260e+02
2.496629923382617022e+00,5.051543879018777830e+02
2.912734910613053341e+00,4.309812329372851423e+02
3.328839897843489659e+00,4.803390073637792739e+02
3.744944885073925533e+00,4.732997456788590966e+02
4.161049872304361408e+00,5.213026270612552935e+02
4.577154859534797282e+00,5.663413516031770314e+02
4.993259846765234045e+00,5.293031122565033684e+02
5.409364833995670807e+00,5.286406892781697024e+02
5.825469821226106681e+00,5.508886020994206092e+02
6.241574808456542556e+00,5.000705206460243630e+02
6.657679795686979318e+00,4.422345839703762636e+02
7.073784782917415193e+00,4.607125572894897800e+02
7.489889770147851067e+00,4.721954697371697307e+02
7.905994757378286941e+00,5.322389348066207049e+02
8.322099744608722816e+00,5.611017450341664698e+02
8.738204731839159578e+00,4.965030853872297598e+02
9.154309719069594564e+00,5.738880453132616094e+04
9.570414706300031327e+00,1.577321124559487798e+05
9.986519693530468089e+00,1.773653480297790666e+05
1.040262468076090485e+01,1.625042717764072004e+05
1.081872966799134161e+01,1.619997843903634057e+05
1.123483465522177660e+01,1.427770154583539406e+05
1.165093964245221336e+01,1.424010048943766451e+05
1.206704462968265013e+01,1.399758850822421082e+05
1.248314961691308511e+01,1.562375487202882359e+05
1.289925460414352187e+01,1.551443344733007543e+05
1.331535959137395864e+01,1.446390827595876472e+05
1.373146457860439540e+01,1.472497439732758212e+05
1.414756956583483039e+01,1.408477630321344768e+05
1.456367455306526537e+01,1.486136489955980796e+05
1.497977954029570213e+01,1.249661329164144699e+05
1.539588452752613890e+01,1.230903556418730295e+05
1.581198951475657388e+01,1.045284349069777963e+05
1.622809450198701242e+01,1.100714007591181435e+05
1.664419948921744563e+01,9.088269544367013441e+04
1.706030447644788239e+01,8.662600758247377235e+04
1.747640946367831916e+01,7.595714669575489825e+04
1.789251445090875592e+01,7.002372053141280776e+04
1.830861943813918913e+01,6.617990793825451692e+04
1.872472442536962944e+01,5.342992199807187717e+04
1.914082941260006265e+01,5.064240384100704978e+04
1.955693439983050297e+01,4.663333090935396467e+04
1.997303938706093618e+01,4.067624008897032036e+04
