# In-plane momentum (1/um), PSD (a.u.)
1.256637061435917246e+00,2.998274930996635230e+05
2.513274122871834493e+00,2.972557725468386197e+05
3.769911184307751739e+00,2.671318134617349133e+05
5.026548245743668986e+00,2.339255229880027182e+05
6.283185307179586232e+00,2.488076292874864303e+05
7.539822368615503478e+00,2.594174292807623569e+05
8.796459430051420725e+00,1.981804189634172653e+05
1.005309649148733797e+01,2.385551723517079372e+05
1.130973355292325522e+01,2.388479392050078604e+05
1.256637061435917246e+01,2.364325785767652269e+05
1.382300767579508793e+01,2.206623624960861052e+05
1.507964473723100696e+01,2.115483408127992006e+05
1.633628179866692420e+01,2.400387046745704138e+05
1.759291886010284145e+01,1.934190382094925153e+05
1.884955592153875870e+01,1.813183685987881909e+05
2.010619298297467594e+01,2.256889818702907942e+05
2.136283004441059319e+01,1.847727538482798263e+05
2.261946710584651044e+01,1.853436928206757875e+05
2.387610416728242768e+01,1.812390340070374077e+05
2.513274122871834493e+01,1.510117821846328443e+05
2.638937829015426217e+01,1.686179864750477136e+05
2.764601535159017587e+01,1.591589789223831904e+05
2.890265241302609667e+01,1.513994105491697555e+05
3.015928947446201391e+01,1.273108275482370227e+05
3.141592653589793116e+01,1.357877434612652869e+05
3.267256359733384841e+01,1.070703817289074796e+05
3.392920065876976565e+01,1.173896446465195186e+05
3.518583772020568290e+01,1.003711250370670605e+05
3.644247478164160015e+01,9.693500202785037982e+04
3.769911184307751739e+01,9.087216423970980395e+04
3.895574890451343464e+01,8.639930473558654194e+04
4.021238596594935188e+01,6.887057105546833191e+04
4.146902302738526913e+01,7.011520632887152897e+04
4.272566008882118638e+01,6.272841961084704963e+04
4.398229715025710362e+01,5.955549000630049704e+04
4.523893421169302087e+01,5.121373116578153713e+04
4.649557127312893812e+01,4.781754166675849410e+04
4.775220833456485536e+01,4.366625818552120472e+04
4.900884539600077261e+01,3.705458197462421958e+04
5.026548245743668986e+01,3.943376483286178700e+04
5.152211951887260000e+01,3.678892615240333544e+04
5.277875658030852435e+01,3.481218751471566793e+04
5.403539364174444160e+01,3.514862206481226167e+04
5.529203070318035174e+01,3.332911549870082672e+04
5.654866776461627609e+01,3.484777619878174301e+04
5.780530482605219333e+01,3.898000443224597257e+04
5.906194188748811769e+01,3.725086022380689974e+04
6.031857894892402783e+01,3.765011190831728891e+04
6.157521601035993797e+01,4.405992002116881486e+04
6.283185307179586232e+01,3.932754349383166846e+04
6.408849013323177246e+01,4.164640261133548483e+04
6.534512719466769681e+01,4.085343319433875877e+04
6.660176425610362116e+01,3.879814276069086191e+04
6.785840131753953131e+01,4.028432066470284190e+04
6.911503837897545566e+01,4.255561890513652907e+04
7.037167544041136580e+01,3.881067147194044810e+04
7.162831250184727594e+01,4.126253389843650803e+04
7.288494956328320029e+01,3.685372055564562470e+04
7.414158662471911043e+01,3.421603507195329439e+04
7.539822368615503478e+01,3.477377544652411598e+04
7.665486074759095914e+01,3.426111828028588207e+04
7.791149780902686928e+01,3.191477058031518754e+04
7.916813487046279363e+01,2.874543456323536884e+04
8.042477193189870377e+01,2.911441683890780041e+04
8.168140899333461391e+01,2.896078329217013379e+04
8.293804605477053826e+01,2.504939651286968001e+04
8.419468311620644840e+01,2.329772937665352219e+04
8.545132017764237276e+01,2.195690118092521152e+04
8.670795723907829711e+01,1.898213749857133735e+04
8.796459430051420725e+01,1.829718438053615318e+04
8.922123136195013160e+01,1.633405317914304032e+04
9.047786842338604174e+01,1.768269132273968717e+04
9.173450548482195188e+01,1.481573871635995238e+04
9.299114254625787623e+01,1.594356605512286478e+04
9.424777960769378637e+01,1.551708733644750464e+04
9.550441666912971073e+01,1.584837016333726024e+04
9.676105373056563508e+01,1.527623511691413660e+04
9.801769079200154522e+01,1.530480418053589710e+04
9.927432785343746957e+01,1.607716340678416600e+04
1.005309649148733797e+02,1.684293824476240115e+04
1.017876019763092899e+02,1.778648215955293927e+04
1.030442390377452000e+02,1.850504630925874153e+04
1.043008760991811386e+02,1.927814629841842907e+04
1.055575131606170487e+02,1.918203193081959398e+04
1.068141502220529730e+02,2.008721195985964005e+04
1.080707872834888832e+02,1.926239743213311158e+04
