Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=0.5; um
0,0.3000,1.040415687092E+02,8.867668863533E+01,2.094395102393E+01
0,0.3010,1.039979412684E+02,8.705447177761E+01,2.087436979129E+01
0,0.3020,1.039546027003E+02,8.544299807790E+01,2.080524936152E+01
0,0.3030,1.039115501453E+02,8.384216116828E+01,2.073658517221E+01
0,0.3040,1.038687807813E+02,8.225185608043E+01,2.066837272099E+01
0,0.3050,1.038262918232E+02,8.067197922267E+01,2.060060756452E+01
0,0.3060,1.037840805224E+02,7.910242835745E+01,2.053328531758E+01
0,0.3070,1.037421441661E+02,7.754310257929E+01,2.046640165205E+01
0,0.3080,1.037004800766E+02,7.599390229320E+01,2.039995229604E+01
0,0.3090,1.036590856110E+02,7.445472919343E+01,2.033393303294E+01
0,0.3100,1.036179581605E+02,7.292548624268E+01,2.026833970058E+01
0,0.3110,1.032654771769E+02,7.209500568704E+01,2.020316819029E+01
0,0.3120,1.029152522190E+02,7.126984872471E+01,2.013841444609E+01
0,0.3130,1.025672616646E+02,7.044996433082E+01,2.007407446383E+01
0,0.3140,1.022214841667E+02,6.963530213053E+01,2.001014429038E+01
0,0.3150,1.018778986493E+02,6.882581238864E+01,1.994662002279E+01
0,0.3160,1.015364843034E+02,6.802144599956E+01,1.988349780753E+01
0,0.3170,1.011972205826E+02,6.722215447729E+01,1.982077383968E+01
0,0.3180,1.008600871987E+02,6.642788994572E+01,1.975844436220E+01
0,0.3190,1.005250641181E+02,6.563860512908E+01,1.969650566514E+01
0,0.3200,1.001921315575E+02,6.485425334254E+01,1.963495408494E+01
0,0.3210,1.000416502629E+02,6.425486731426E+01,1.957378600367E+01
0,0.3220,9.989210293804E+01,6.365920418057E+01,1.951299784838E+01
0,0.3230,9.974348091212E+01,6.306722936349E+01,1.945258609034E+01
0,0.3240,9.959577562103E+01,6.247890871195E+01,1.939254724438E+01
0,0.3250,9.944897860614E+01,6.189420849519E+01,1.933287786824E+01
0,0.3260,9.930308151255E+01,6.131309539632E+01,1.927357456190E+01
0,0.3270,9.915807608764E+01,6.073553650601E+01,1.921463396691E+01
0,0.3280,9.901395417921E+01,6.016149931624E+01,1.915605276579E+01
0,0.3290,9.887070773434E+01,5.959095171426E+01,1.909782768140E+01
0,0.3300,9.872832879749E+01,5.902386197654E+01,1.903995547630E+01
