Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=0.45263157894736844; um 
0,0.4000,8.792092848978E+01,4.649557127313E+00,1.570796326795E+01
0,0.4010,8.725592784537E+01,4.529847561859E+00,1.566879128972E+01
0,0.4020,8.659421531706E+01,4.410733566383E+00,1.562981419696E+01
0,0.4030,8.593576364486E+01,4.292210707361E+00,1.559103053891E+01
0,0.4040,8.528054625303E+01,4.174274595166E+00,1.555243887916E+01
0,0.4050,8.462854127827E+01,4.056920883525E+00,1.551403779551E+01
0,0.4060,8.397972330314E+01,3.940145268985E+00,1.547582587975E+01
0,0.4070,8.333407052070E+01,3.823943490389E+00,1.543780173754E+01
0,0.4080,8.269155602275E+01,3.708311328355E+00,1.539996398819E+01
0,0.4090,8.205216013124E+01,3.593244604766E+00,1.536231126450E+01
0,0.4100,8.141585675426E+01,3.478739182268E+00,1.532484221263E+01
0,0.4110,8.089301928413E+01,3.392308563657E+00,1.528755549192E+01
0,0.4120,8.037270510488E+01,3.306297511157E+00,1.525044977471E+01
0,0.4130,7.985489141031E+01,3.220702977070E+00,1.521352374620E+01
0,0.4140,7.933956003909E+01,3.135521943148E+00,1.517677610430E+01
0,0.4150,7.882669578523E+01,3.050751420233E+00,1.514020555947E+01
0,0.4160,7.831627873504E+01,2.966388447909E+00,1.510381083457E+01
0,0.4170,7.780828981469E+01,2.882430094157E+00,1.506759066470E+01
0,0.4180,7.730271681865E+01,2.798873455016E+00,1.503154379708E+01
0,0.4190,7.679953720333E+01,2.715715654249E+00,1.499566899088E+01
0,0.4200,7.629873211381E+01,2.632953843009E+00,1.495996501709E+01
0,0.4210,7.586168335695E+01,2.569986959374E+00,1.492443065838E+01
0,0.4220,7.542669116634E+01,2.507318496988E+00,1.488906470896E+01
0,0.4230,7.499373908051E+01,2.444946339389E+00,1.485386597442E+01
0,0.4240,7.456281594542E+01,2.382868390081E+00,1.481883327165E+01
0,0.4250,7.413390496642E+01,2.321082572299E+00,1.478396542866E+01
0,0.4260,7.370699313207E+01,2.259586828779E+00,1.474926128446E+01
0,0.4270,7.328206791056E+01,2.198379121528E+00,1.471471968895E+01
0,0.4280,7.285910940916E+01,2.137457431601E+00,1.468033950276E+01
0,0.4290,7.243811166267E+01,2.076819758877E+00,1.464611959716E+01
0,0.4300,7.201905193120E+01,2.016464121839E+00,1.461205885391E+01
0,0.4310,7.165020947572E+01,1.966593266679E+00,1.457815616515E+01
0,0.4320,7.128306463414E+01,1.916953295107E+00,1.454441043329E+01
0,0.4330,7.091759710324E+01,1.867542607469E+00,1.451082057085E+01
0,0.4340,7.055380506824E+01,1.818359618852E+00,1.447738550041E+01
0,0.4350,7.019167490364E+01,1.769402758918E+00,1.444410415444E+01
0,0.4360,6.983119065184E+01,1.720670471737E+00,1.441097547518E+01
0,0.4370,6.947234652756E+01,1.672161215618E+00,1.437799841460E+01
0,0.4380,6.911512613091E+01,1.623873462951E+00,1.434517193420E+01
0,0.4390,6.875952171256E+01,1.575805700047E+00,1.431249500496E+01
0,0.4400,6.840552299924E+01,1.527956426973E+00,1.427996660723E+01
0,0.4410,6.807600243787E+01,1.495002020225E+00,1.424758573057E+01
0,0.4420,6.774796292488E+01,1.462196728440E+00,1.421535137371E+01
0,0.4430,6.742139280008E+01,1.429539541810E+00,1.418326254442E+01
0,0.4440,6.709628445015E+01,1.397029459624E+00,1.415131825941E+01
0,0.4450,6.677262335440E+01,1.364665490167E+00,1.411951754422E+01
0,0.4460,6.645040346906E+01,1.332446650618E+00,1.408785943314E+01
0,0.4470,6.612961462166E+01,1.300371966950E+00,1.405634296908E+01
0,0.4480,6.581024838565E+01,1.268440473834E+00,1.402496720353E+01
0,0.4490,6.549229041259E+01,1.236651214541E+00,1.399373119639E+01
0,0.4500,6.517573772719E+01,1.205003240845E+00,1.396263401595E+01
0,0.4510,6.488436172040E+01,1.181543941427E+00,1.393167473876E+01
0,0.4520,6.459426420927E+01,1.158188444218E+00,1.390085244951E+01
0,0.4530,6.430544052753E+01,1.134936061787E+00,1.387016624101E+01
0,0.4540,6.401787782163E+01,1.111786112760E+00,1.383961521405E+01
0,0.4550,6.373156970128E+01,1.088737921749E+00,1.380919847732E+01
0,0.4560,6.344650798274E+01,1.065790819296E+00,1.377891514732E+01
0,0.4570,6.316268214330E+01,1.042944141799E+00,1.374876434831E+01
